url,title,published,author,categories,audio_links
https://eo.globalvoices.org/2025/08/15535/,Interretaj uzantoj en Rusio povus esti punataj pro siaj serĉoj,2025-08-14T15:40:29+02:00,Arturo Serrano,"Cenzuro,Civitanaj komunikiloj,GV Advocacy,Interreta aktivismo,Juro,Komunikiloj kaj ĵurnalismo,Orienta kaj Centra Eŭropo,Parollibereco,Rusio,Ĉefaĵo",
https://eo.globalvoices.org/2025/08/15470/,Hispanaj artistoj reimagas Gernikon de Picasso kontraŭ la genocido en Gazao,2025-08-15T17:59:07+02:00,Adam D. Prakasa,"Arto kaj kulturo,Blogo,Civitanaj komunikiloj,Hispanio,Mezoriento kaj Nordafriko,Milito kaj konflikto,Okcidenta Eŭropo,Palestino,Virinoj kaj genro,Ĉefaĵo",
https://eo.globalvoices.org/2025/08/15455/,Malajziaj aŭtoritatoj inspektas organizantojn de ateliero kun GLAT-fiera temo pro antaŭenigo de ‘devia kulturo’,2025-08-15T21:34:01+02:00,Adam D. Prakasa,"Angla,Blogo,Civitanaj komunikiloj,Homaj rajtoj,Junuloj,Malajzio,Orienta Azio,Politiko,Rajtoj je seksa diverseco (GLAT),Regado,Sano,Ĉefaĵo",
https://eo.globalvoices.org/2025/08/15482/,Rara eldonejo uzas azian literaturon por pli proksimigi Tajvanon kaj Japanion al Ukrainio,2025-08-15T22:02:37+02:00,Adam D. Prakasa,"Arto kaj kulturo,Blogo,Civitanaj komunikiloj,Japana,Japanio,Lingvo,Literaturo,Orienta kaj Centra Eŭropo,Rusa,Tajvano (RĈ),Ukraina,Ukrainio,Ĉefaĵo,Ĉina",
https://eo.globalvoices.org/2025/08/15425/,Kiel du ŝokantaj novaĵoj el Gazao apenaŭ faris tutmondajn fraptitolojn,2025-08-16T19:21:55+02:00,Adam D. Prakasa,"Angla,Civitanaj komunikiloj,Homaj rajtoj,Homama agado,Israelo,Mezoriento kaj Nordafriko,Milito kaj konflikto,Palestino,The Bridge,Ĉefaĵo",
https://eo.globalvoices.org/2025/08/15546/,Kiel la serio ‘La Eternaŭto’ revivigis la serĉadon de malaperigitoj en Argentino,2025-08-19T11:44:10+02:00,Toño DEL BARRIO,"Argentino,Arto kaj kulturo,Civitanaj komunikiloj,Historio,Latinameriko,Politiko",
