url,title,published,author,categories,audio_links
https://uea.facila.org/filmetoj/matenmang%CC%82oj-tra-la-mondo-r366,Matenmanĝoj tra la mondo,2025-10-04T19:58:19+00:00,,Filmetoj,
https://uea.facila.org/artikoloj/homoj/stead-raportisto-kaj-esperantisto-r491,Stead: raportisto kaj esperantisto,2025-10-09T04:46:50+00:00,Terry Page,Homoj,https://uea.facila.org/uploads/monthly_2025_10/Stead.mp3.f25be5c0af5b62082e3f5f35a5e70014.mp3
https://uea.facila.org/filmetoj/esku-epizodo-54-istvan-ertl-r367,EsKu - Epizodo 54 - Istvan Ertl,2025-10-11T19:19:24+00:00,,Filmetoj,
https://uea.facila.org/artikoloj/lega%C4%B5oj/%C4%89u-birdaj-monbiletoj-en-e%C5%ADropo-r492,Ĉu birdaj monbiletoj en Eŭropo?,2025-10-15T06:53:28+00:00,Laurent Ramette,Legaĵoj,https://uea.facila.org/uploads/monthly_2025_10/NovajMonbiletojred.mp3.88963985a69279916e5f91bf84e06794.mp3
https://uea.facila.org/filmetoj/katoj-estas-mirindaj-r368,Katoj estas mirindaj,2025-10-19T08:50:55+00:00,,Filmetoj,
https://uea.facila.org/loke/zaozhuang-r98,Zaozhuang,2025-10-23T07:53:23+00:00,,Loke,
https://uea.facila.org/artikoloj/kongresoj-kaj-kunvenoj/balda%C5%AD-okazos-la-6-a-virtuala-kongreso-de-esperanto-r493,Baldaŭ okazos la 6-a Virtuala Kongreso de Esperanto,2025-10-26T05:34:29+00:00,,Kongresoj kaj kunvenoj,"https://uea.facila.org/uploads/monthly_2025_10/VKplena.mp3.389884c35b9279c2bd1c54f35b70c65a.mp3,https://www.vinilkosmo-mp3.com/eo/"
https://uea.facila.org/filmetoj/%C4%9Di-revenas-%C4%89iun-halovenon-r369,Ĝi revenas ĉiun Halovenon,2025-10-26T20:45:04+00:00,,Filmetoj,
https://uea.facila.org/artikoloj/lega%C4%B5oj/kiu-unue-metis-teon-en-saketon-r494,Kiu unue metis teon en saketon?,2025-10-29T12:10:51+00:00,Myrtis Smith,Legaĵoj,https://uea.facila.org/uploads/monthly_2025_10/Te-saketojred.mp3.b7c3d7524c821a298ed4b7956b15d9ee.mp3
