url,title,published,author,categories,audio_links
https://uea.facila.org/artikoloj/literaturo/la-riparo-r497,La riparo,2025-12-02T17:45:06+00:00,Myrtis Smith,Literaturo,https://uea.facila.org/uploads/monthly_2025_12/Lariparored.mp3.e069f8d98d6f8d47a6eddfd556a6de43.mp3
https://uea.facila.org/filmetoj/kion-donaci-por-kristnasko-r375,Kion donaci por Kristnasko?,2025-12-08T20:27:40+00:00,,Filmetoj,
https://uea.facila.org/artikoloj/lega%C4%B5oj/salamandroj-kaj-fajro-r499,Salamandroj kaj fajro,2025-12-09T06:44:00+00:00,Ewa Caban,Legaĵoj,https://uea.facila.org/uploads/monthly_2025_12/Salamandrojkajfajrored.mp3.409b290c47758e400b358d0e2fc21430.mp3
https://uea.facila.org/artikoloj/tra-la-reto/helpu-la-esperantan-muzikon-en-interreto-r500,Helpu la Esperantan muzikon en Interreto!,2025-12-13T22:03:00+00:00,,Tra la reto,
https://uea.facila.org/filmetoj/malfermo-de-la-6-a-virtuala-kongreso-de-esperanto-2025-r376,Malfermo de la 6-a Virtuala Kongreso de Esperanto 2025,2025-12-14T21:13:11+00:00,,Filmetoj,
https://uea.facila.org/artikoloj/lega%C4%B5oj/kial-oni-man%C4%9Das-papavo-semojn-dum-kristnasko-r501,Kial oni manĝas papavo-semojn dum Kristnasko?,2025-12-18T06:45:02+00:00,Ewa Caban,Legaĵoj,https://uea.facila.org/uploads/monthly_2025_12/Papavo-semojred.mp3.d53df160cb7a9a4ed5346c996798a0d2.mp3
https://uea.facila.org/filmetoj/pa%C5%9Doj-esperanta-kristnaska-kanto-r378,PAŜOJ - Esperanta kristnaska kanto,2025-12-20T20:06:11+00:00,,Filmetoj,
https://uea.facila.org/artikoloj/kongresoj-kaj-kunvenoj/la-6-a-virtuala-kongreso-r502,La 6-a Virtuala Kongreso 4-a ĝis 7-a de decembro 2025,2025-12-26T10:27:47+00:00,Anna Lowenstein,"Kongresoj kaj kunvenoj,La 6-a Virtuala Kongreso",https://uea.facila.org/uploads/monthly_2025_12/RaportopriVKred.mp3.8c1197b33d22a8315183fad69ab099d3.mp3
https://uea.facila.org/filmetoj/e%C4%89-pli-rara-r379,Eĉ pli rara,2025-12-28T16:11:11+00:00,,Filmetoj,
