url,title,published,author,categories,audio_links
https://uea.facila.org/filmetoj/arkitektoj-de-la-naturo-r357,Arkitektoj de la naturo,2025-08-03T11:49:47+00:00,,Filmetoj,
https://uea.facila.org/filmetoj/kosmaj-milita%C4%89oj-2-la-ven%C4%9Do-r358,Kosmaj militaĉoj 2: La venĝo,2025-08-10T09:40:18+00:00,,Filmetoj,
https://uea.facila.org/artikoloj/kongresoj-kaj-kunvenoj/tre-plena-semajno-en-%C4%89e%C4%A5io-r484,Tre plena semajno en Ĉeĥio,2025-08-11T19:29:00+00:00,Rianne Sanders,Kongresoj kaj kunvenoj,https://uea.facila.org/uploads/monthly_2025_08/UKenBurno.mp3.5cf62758ad409b906ac8233380c068ce.mp3
https://uea.facila.org/filmetoj/rekafo-%E2%80%93-filmo-por-la-usona-bona-film-festivalo-r359,Rekafo – Filmo por la Usona Bona Film-Festivalo,2025-08-17T19:56:16+00:00,,Filmetoj,
https://uea.facila.org/artikoloj/%C4%9Denerale/retaj-esperanto-kursoj-en-hispanujo-r485,Retaj Esperanto-kursoj en Hispanujo,2025-08-20T15:55:00+00:00,Rubeno Fernández Asensio,Ĝenerale,https://uea.facila.org/uploads/monthly_2025_09/UNED-kursojred.mp3.fbab4f2ad6587920f13ac3e40da9139b.mp3
https://uea.facila.org/artikoloj/movado/rezolucio-de-la-110-a-universala-kongreso-r486,Rezolucio de la 110-a Universala Kongreso de Esperanto en Burno,2025-08-26T20:25:37+00:00,,"Movado,Rezolucio de la 110-a Universala Kongreso",https://uea.facila.org/uploads/monthly_2025_08/rezoluciored.mp3.35e29a9e2b89eab64b56e2445a6d4c8c.mp3
