url,title,published,author,categories,audio_links
https://eo.globalvoices.org/2025/07/15433/,Ĉu novaj ĉiniaj sunenergiaj kompanioj rapidigos la mediamikan transiron de Indonezio?,2025-07-22T18:17:32+02:00,Adam D. Prakasa,"Civitanaj komunikiloj,Ekonomio kaj komerco,Indonezio,Internaciaj rilatoj,Medio,Orienta Azio,Usono,Ĉefaĵo,Ĉina,Ĉinio",
https://eo.globalvoices.org/2025/07/15508/,Subtenu Global Voices dum ni lanĉas nian donackampanjon,2025-07-22T23:35:07+02:00,Herman Dekeŭnink,"Announcements,Civitanaj komunikiloj,Ĉefaĵo",
https://eo.globalvoices.org/2025/07/15523/,Monkolekto: Grimpante virtualan Evereston kun la komunumo Global Voices,2025-07-25T22:12:14+02:00,Herman Dekeŭnink,"Blogo,Civitanaj komunikiloj,Ĉefaĵo",
