url,title,published,author,categories,audio_links
https://www.liberafolio.org/2025/09/01/esperanto-malpermesita-en-esperanto-kongreso/,Esperanto malpermesita en Esperanto-kongreso,2025-09-01T19:02:22+01:00,,movado,
https://www.liberafolio.org/2025/09/02/kea-en-gazao-la-afero-estas-tre-klara-kaj-akuta/,KEA: ”En Gazao la afero estas tre klara kaj akuta”,2025-09-02T04:20:17+01:00,,movado,
https://www.liberafolio.org/2025/09/03/trump-haltigas-libropakajojn-de-uea-al-usono/,Trump haltigas libropakaĵojn de UEA al Usono,2025-09-03T04:21:04+01:00,,"kulturo,movado",
https://www.liberafolio.org/2025/09/09/sveda-vortaro-migras-reten-cu-aliaj-sekvos/,Sveda vortaro migras reten – ĉu aliaj sekvos?,2025-09-09T04:21:22+01:00,,"interreto,kulturo",
https://www.liberafolio.org/2025/09/16/tejo-preparas-deklaron-pri-palestino/,TEJO preparas deklaron pri Palestino,2025-09-16T06:36:33+01:00,,"TEJO,movado",
https://www.liberafolio.org/2025/09/23/esperantistoj-partoprenis-la-protestojn-en-nepalo/,Esperantistoj partoprenis la protestojn en Nepalo,2025-09-23T05:32:20+01:00,,movado,
https://www.liberafolio.org/2025/09/27/uea-trovis-acetonton-por-la-domo-de-la-co/,UEA trovis aĉetonton por la domo de la CO,2025-09-27T11:09:07+01:00,,movado,
https://www.liberafolio.org/2025/09/30/unikaj-retaj-kursoj-sur-universitata-nivelo/,Unikaj retaj kursoj sur universitata nivelo,2025-09-30T07:05:13+01:00,,movado,
