url,title,published,author,categories,audio_links
https://www.liberafolio.org/2026/08/02/la-universala-kongreso-en-graco-inaugurita/,La Universala Kongreso en Graco inaŭgurita,2026-08-02T21:35:44+02:00,,"UEA,movado",
https://www.liberafolio.org/2026/08/03/austria-televido-vizitis-la-universalan-kongreson/,Aŭstria televido vizitis la Universalan Kongreson,2026-08-03T21:28:40+02:00,,"UEA,movado",
https://www.liberafolio.org/2026/08/06/ciam-mi-trovas-homojn-kiuj-estas-helpemaj/,"”Ĉiam mi trovas homojn, kiuj estas helpemaj”",2026-08-06T15:24:39+02:00,,movado,
https://www.liberafolio.org/2026/08/07/la-rezultoj-de-la-belartaj-konkursoj-2026/,La rezultoj de la Belartaj Konkursoj 2026,2026-08-07T08:50:38+02:00,,kulturo,
https://www.liberafolio.org/2026/08/07/uea-respondis-multvorte-pri-disaj-temoj/,UEA respondis multvorte pri disaj temoj,2026-08-07T08:54:07+02:00,,movado,
https://www.liberafolio.org/2026/08/08/la-komitato-volas-vidi-financan-planon/,La komitato volas vidi financan planon,2026-08-08T13:02:25+02:00,,"UEA,movado",
