url,title,published,author,categories,audio_links
https://www.liberafolio.org/2026/07/01/kontoj-de-uea-daure-sen-profesia-kontrolo/,Kontoj de UEA daŭre sen profesia kontrolo,2026-07-01T14:03:07+01:00,,"UEA,movado",
https://www.liberafolio.org/2026/07/02/forpasis-przemyslaw-wierzbowski/,Forpasis Przemysław Wierzbowski,2026-07-02T08:29:23+01:00,,movado,
https://www.liberafolio.org/2026/07/07/kaj-tamen-pluas-verkoj-pintaj/,Kaj tamen pluas verkoj pintaj,2026-07-07T05:49:44+01:00,,kulturo,
https://www.liberafolio.org/2026/07/09/kiu-volas-esti-la-kasisto-de-krizanta-tejo/,Kiu volas esti la kasisto de krizanta TEJO?,2026-07-09T14:22:54+01:00,,movado,
https://www.liberafolio.org/2026/07/15/uea-perdas-la-esperon-pri-nederlando/,UEA perdas la esperon pri Nederlando,2026-07-15T06:52:18+01:00,,"UEA,movado",
https://www.liberafolio.org/2026/07/20/tri-fratinoj-matigis-la-mondan-sakistaron/,Tri fratinoj matigis la mondan ŝakistaron,2026-07-20T08:08:40+01:00,,movado,
https://www.liberafolio.org/2026/07/20/cu-esperantista-prezidento-por-hungario/,Ĉu esperantista prezidento por Hungario?,2026-07-20T09:06:07+01:00,,movado,
https://www.liberafolio.org/2026/07/28/ai-helpos-al-ciuj-lerni-esperanton-en-12-horoj/,AI helpos al ĉiuj lerni Esperanton en 12 horoj,2026-07-28T06:34:08+01:00,,interreto,
