url,title,published,author,categories,audio_links
https://uea.facila.org/artikoloj/tra-la-reto/esperradio-kvar-jaroj-da-frateco-r526,EsperRadio: kvar jaroj da frateco,2026-07-03T16:14:15+00:00,Laura Brazzabeni,Tra la reto,https://uea.facila.org/uploads/monthly_2026_07/esperradiored2.mp3.65bc27d0b229084be3aaa28827fd3d1f.mp3
https://uea.facila.org/filmetoj/kuriporkongo-r404,KuriPorKONGO,2026-07-05T06:46:53+00:00,,Filmetoj,
https://uea.facila.org/artikoloj/movado/konkurso-%E2%80%9Cvikio-amas-zeo-jn%E2%80%9D-r528,Konkurso “Vikio amas ZEO-jn”,2026-07-14T17:29:00+00:00,,Movado,
https://uea.facila.org/artikoloj/movado/kongreso-por-virinoj-r527,Kongreso por virinoj,2026-07-18T08:56:47+00:00,Alessandra Madella,Movado,https://uea.facila.org/uploads/monthly_2026_07/mioraintervjuored.mp3.9aef42f1dab375476b463ad9f3cb5df6.mp3
https://uea.facila.org/filmetoj/la-viro-kiu-faligis-murojn-r406,"La viro, kiu faligis murojn",2026-07-19T06:55:53+00:00,,Filmetoj,
https://uea.facila.org/artikoloj/kongresoj-kaj-kunvenoj/venu-al-la-itala-kongreso-de-esperanto-r529,Venu al la Itala Kongreso de Esperanto!,2026-07-26T07:25:00+00:00,Laura Brazzabeni,Kongresoj kaj kunvenoj,https://uea.facila.org/uploads/monthly_2026_07/ItalaKongresored.mp3.a5fa022f63402cac67c1f322154449e7.mp3
https://uea.facila.org/filmetoj/kial-ni-estas-perfortemaj-teorio-de-socia-lernado-r407,Kial ni estas perfortemaj? [Teorio de Socia lernado],2026-07-26T11:04:07+00:00,,Filmetoj,
