url,title,published,author,categories,audio_links
https://uea.facila.org/artikoloj/movado/eldonejo-guteto-r517,Eldonejo Guteto,2026-05-02T05:38:54+00:00,Brandon Sowers,Movado,https://uea.facila.org/uploads/monthly_2026_05/EldonejoGuteto.mp3.a986b049bac7cd0b4a60fff5ecb13597.mp3
https://uea.facila.org/artikoloj/libroservo/%C4%89u-vi-legas-bitlibrojn-r518,Ĉu vi legas bitlibrojn?,2026-05-05T18:06:00+00:00,,Libroservo,https://uea.facila.org/uploads/monthly_2026_05/Cuvilegasbitlibrojnred.mp3.8fe33c415da1805d204ac386825025a0.mp3
https://uea.facila.org/filmetoj/malcedi-r396,Malcedi,2026-05-10T19:12:02+00:00,,Filmetoj,
https://uea.facila.org/filmetoj/kiu-velas-sur-mar-r397,Kiu velas sur mar',2026-05-16T19:51:26+00:00,,Filmetoj,
https://uea.facila.org/artikoloj/movado/la-deklaracio-de-bulonjo-r519,La Deklaracio de Bulonjo kaj la “interna ideo”,2026-05-21T08:45:07+00:00,Rubeno Fernández Asensio,"Movado,La Deklaracio de Bulonjo",https://uea.facila.org/uploads/monthly_2026_05/BulonjaDeklaraciored.mp3.ae62957e9673f0ca2deed8fbfcd2004d.mp3
https://uea.facila.org/filmetoj/chaplin-utiligas-esperanton-r398,Chaplin utiligas Esperanton,2026-05-23T20:36:12+00:00,,Filmetoj,
https://uea.facila.org/artikoloj/%C4%9Denerale/esperanto-apartenas-al-la-a%C5%ADstra-kulturo-r520,Esperanto apartenas al la aŭstra kulturo!,2026-05-26T17:11:00+00:00,,Ĝenerale,https://uea.facila.org/uploads/monthly_2026_06/EsperantokulturaheredajodeAustrujored.mp3.a1b08e9cb654b63d5dd3100e13e410ff.mp3
https://uea.facila.org/artikoloj/libroservo/leonardo-sciascia-denove-vivas-en-esperanto-r521,Leonardo Sciascia denove vivas en Esperanto,2026-05-30T09:46:00+00:00,Laura Brazzabeni,Libroservo,https://uea.facila.org/uploads/monthly_2026_05/LeonardoSciasciared.mp3.466340808ea5df26648c49dcc33bb92d.mp3
https://uea.facila.org/filmetoj/esku-82-zsofia-korody-r399,EsKu 82 Zsofia Korody,2026-05-31T13:32:31+00:00,,Filmetoj,
