url,title,published,author,categories,audio_links
https://www.liberafolio.org/2026/04/02/reaperas-la-perditaj-muzikajoj/,Reaperas la perditaj muzikaĵoj,2026-04-02T04:48:14+01:00,,kulturo,
https://www.liberafolio.org/2026/04/09/nun-eblas-esperantigi-filmojn-en-youtube/,Nun eblas esperantigi filmojn en Youtube,2026-04-09T13:43:35+01:00,,kulturo,
https://www.liberafolio.org/2026/04/14/la-plej-magra-jarrikolto-67-libroj-en-2025/,La plej magra jarrikolto: 67 libroj en 2025,2026-04-14T06:14:55+01:00,,kulturo,
https://www.liberafolio.org/2026/04/14/guteto-el-usono-legologos-per-abonklubo/,Guteto el Usono legologos per abonklubo,2026-04-14T06:27:38+01:00,,kulturo,
https://www.liberafolio.org/2026/04/23/truego-en-la-poso-de-tejo/,Truego en la poŝo de TEJO,2026-04-23T06:19:41+01:00,,"TEJO,movado",
https://www.liberafolio.org/2026/04/28/malagasoj-bezonas-esperanton/,Malagasoj bezonas Esperanton,2026-04-28T05:57:58+01:00,,vidpunkto,
